id,disponibilidad,nombre,descripcion,estado,idUnidadServicio
91,6:00am-7:00am,Laboratorio de Física 1,Laboratorio equipado con instrumentos para experimentos de mecánica,disponible,6
92,7:00am-8:00am,Laboratorio de Física 2,Espacio con bancos ópticos y fuentes de luz para óptica,disponible,6
93,8:00am-9:00am,Laboratorio de Física 3,Laboratorio con equipos para experimentos de electricidad y magnetismo,disponible,6
94,9:00am-10:00am,Laboratorio de Física 4,Equipado con equipos para estudios de termodinámica,disponible,6
95,10:00am-11:00am,Laboratorio de Física 5,Espacio con aparatos para experimentos de ondas y sonido,disponible,6
96,11:00am-12:00pm,Laboratorio de Física 6,Laboratorio con equipos para estudios de física moderna,disponible,6
97,12:00pm-1:00pm,Laboratorio de Física 7,Espacio con instrumentos para experimentos de óptica avanzada,disponible,6
98,1:00pm-2:00pm,Laboratorio de Física 8,Laboratorio con equipos para investigaciones de física cuántica,disponible,6
99,2:00pm-3:00pm,Laboratorio de Física 9,Equipado con equipos para experimentos de física nuclear,disponible,6
100,3:00pm-4:00pm,Laboratorio de Física 10,Espacio con aparatos para estudios de física de partículas,disponible,6
101,4:00pm-5:00pm,Laboratorio de Física 11,Laboratorio con equipos para experimentos de acústica,disponible,6
102,5:00pm-6:00pm,Laboratorio de Física 12,Espacio con instrumentos para estudios de fenómenos electromagnéticos,disponible,6
103,6:00pm-7:00pm,Laboratorio de Física 13,Laboratorio con equipos para experimentos de física de fluidos,disponible,6
104,7:00pm-8:00pm,Laboratorio de Física 14,Espacio con aparatos para estudios de óptica geométrica,disponible,6
105,6:00am-8:00am,Laboratorio de Física 15,Laboratorio multifuncional para diversas investigaciones en física,disponible,6
