id,disponibilidad,nombre,descripcion,estado,idUnidadServicio
31,6:00am-7:00am,Laboratorio de Química 1,Laboratorio equipado para análisis orgánicos,disponible,2
32,7:00am-8:00am,Laboratorio de Química 2,Espacio con instrumentos para química inorgánica,disponible,2
33,8:00am-9:00am,Laboratorio de Química 3,Laboratorio especializado en química analítica,disponible,2
34,9:00am-10:00am,Laboratorio de Química 4,Equipado para investigaciones en bioquímica,disponible,2
35,10:00am-11:00am,Laboratorio de Química 5,Con espacio para experimentos de fisicoquímica,disponible,2
36,11:00am-12:00pm,Laboratorio de Química 6,Laboratorio con área para química ambiental,disponible,2
37,12:00pm-1:00pm,Laboratorio de Química 7,Con equipo avanzado para síntesis química,disponible,2
38,1:00pm-2:00pm,Laboratorio de Química 8,Espacio dedicado a la química industrial,disponible,2
39,2:00pm-3:00pm,Laboratorio de Química 9,Laboratorio con instrumentos para electroquímica,disponible,2
40,3:00pm-4:00pm,Laboratorio de Química 10,Laboratorio equipado para química farmacéutica,disponible,2
41,4:00pm-5:00pm,Laboratorio de Química 11,Laboratorio con espacio para investigaciones en química teórica,disponible,2
42,5:00pm-6:00pm,Laboratorio de Química 12,Con equipo especializado para química de materiales,disponible,2
43,6:00pm-7:00pm,Laboratorio de Química 13,Laboratorio avanzado para estudios de nanotecnología,disponible,2
44,7:00pm-8:00pm,Laboratorio de Química 14,Espacio con equipos para química computacional,disponible,2
45,6:00am-8:00am,Laboratorio de Química 15,Laboratorio multifuncional para diversos proyectos de química,disponible,2
